[b'./dataset/tiger/tiger8.jpg' b'0.9375']
[b'./dataset/car/car3.jpg' b'0.921875']
[b'./dataset/tiger/tiger9.jpg' b'0.8984375']
[b'./dataset/tiger/tiger4.jpg' b'0.8671875']
[b'./dataset/tiger/tiger7.jpg' b'0.8671875']
[b'./dataset/car/car8.jpg' b'0.85546875']
[b'./dataset/tiger/tiger3.jpg' b'0.828125']
[b'./dataset/tiger/tiger2.jpg' b'0.796875']
[b'./dataset/car/car10.jpg' b'0.78515625']
[b'./dataset/car/car1.jpg' b'0.75']
[b'./dataset/car/car2.jpg' b'0.75']
[b'./dataset/car/car7.jpg' b'0.74609375']
[b'./dataset/tiger/tiger6.jpg' b'0.73828125']
[b'./dataset/car/car4.jpg' b'0.71484375']
[b'./dataset/car/car5.jpg' b'0.7109375']
[b'./dataset/train/train10.jpg' b'0.69921875']
[b'./dataset/car/car9.jpg' b'0.69140625']
[b'./dataset/tiger/tiger5.jpg' b'0.6875']
[b'./dataset/car/car6.jpg' b'0.67578125']
[b'./dataset/bird/bird9.jpg' b'0.671875']
[b'./dataset/train/train7.jpg' b'0.671875']
[b'./dataset/bird/bird8.jpg' b'0.66796875']
[b'./dataset/train/train2.jpg' b'0.66796875']
[b'./dataset/bird/bird1.jpg' b'0.66015625']
[b'./dataset/bird/bird2.jpg' b'0.65625']
[b'./dataset/bird/bird6.jpg' b'0.65234375']
[b'./dataset/train/train3.jpg' b'0.6484375']
[b'./dataset/puppy/puppy10.jpg' b'0.6484375']
[b'./dataset/tiger/tiger1.jpg' b'0.64453125']
[b'./dataset/tiger/tiger10.jpg' b'0.640625']
[b'./dataset/bird/bird10.jpg' b'0.640625']
[b'./dataset/train/train1.jpg' b'0.63671875']
[b'./dataset/train/train4.jpg' b'0.63671875']
[b'./dataset/puppy/puppy2.jpg' b'0.63671875']
[b'./dataset/puppy/puppy5.jpg' b'0.63671875']
[b'./dataset/bird/bird4.jpg' b'0.6328125']
[b'./dataset/train/train8.jpg' b'0.6171875']
[b'./dataset/puppy/puppy6.jpg' b'0.6171875']
[b'./dataset/bird/bird3.jpg' b'0.61328125']
[b'./dataset/puppy/puppy9.jpg' b'0.609375']
[b'./dataset/train/train5.jpg' b'0.60546875']
[b'./dataset/puppy/puppy4.jpg' b'0.60546875']
[b'./dataset/train/train9.jpg' b'0.58984375']
[b'./dataset/puppy/puppy1.jpg' b'0.58203125']
[b'./dataset/puppy/puppy7.jpg' b'0.578125']
[b'./dataset/bird/bird5.jpg' b'0.55078125']
[b'./dataset/bird/bird7.jpg' b'0.52734375']
[b'./dataset/puppy/puppy3.jpg' b'0.52734375']
[b'./dataset/puppy/puppy8.jpg' b'0.47265625']
[b'./dataset/train/train6.jpg' b'0.42578125']
